id_company,date_waste,kitchen,shift,type_waste,weight,covers,heatmap,heatmap_text
APAC Hyatt Taipei TAIGH,2022-04-29,Cafe,Dinner,buffet,2.4,208.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-29,Cafe,Dinner,preparation,3.8,208.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-29,Cafe,Dinner,preparation,3.4,208.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-29,Cafe,Dinner,preparation,1.5,208.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-29,Cafe,Dinner,preparation,1.2,208.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-29,Cafe,Dinner,preparation,6.6,208.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-29,Cafe,Dinner,buffet,4.4,208.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-29,Cafe,Dinner,plate,39.0,208.0,0.0,OK
APAC Hyatt Solo SOCAL,2022-05-24,Epice,Dinner,preparation,1.2,37.0,0.0,OK
APAC Hyatt Solo SOCAL,2022-05-24,Epice,Dinner,plate,0.3,37.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-30,Cafe,Breakfast,preparation,3.2,148.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-30,Cafe,Breakfast,buffet,4.8,148.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-30,Cafe,Breakfast,buffet,3.3,148.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-30,Cafe,Breakfast,buffet,0.8,148.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-30,Cafe,Breakfast,buffet,0.5,148.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-30,Cafe,Breakfast,buffet,1.2,148.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-30,Cafe,Breakfast,plate,12.84,148.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-30,Cafe,Lunch,preparation,5.1,302.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-30,Cafe,Lunch,preparation,4.5,302.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-30,Cafe,Lunch,preparation,5.1,302.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-30,Cafe,Lunch,preparation,4.7,302.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-30,Cafe,Lunch,preparation,3.0,302.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-30,Cafe,Lunch,preparation,3.8,302.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-30,Cafe,Lunch,buffet,14.6,302.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-30,Cafe,Lunch,buffet,4.0,302.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-30,Cafe,Lunch,buffet,5.0,302.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-30,Cafe,Lunch,buffet,1.0,302.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-30,Cafe,Lunch,buffet,1.4,302.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-30,Cafe,Lunch,plate,42.0,302.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-30,Cafe,Dinner,buffet,3.4,212.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-30,Cafe,Dinner,preparation,2.3,212.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-30,Cafe,Dinner,preparation,7.0,212.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-30,Cafe,Dinner,preparation,2.3,212.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-30,Cafe,Dinner,preparation,1.5,212.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-30,Cafe,Dinner,preparation,3.1,212.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-30,Cafe,Dinner,preparation,9.5,212.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-30,Cafe,Dinner,buffet,0.5,212.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-30,Cafe,Dinner,buffet,0.6,212.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-30,Cafe,Dinner,buffet,1.5,212.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-30,Cafe,Dinner,buffet,4.7,212.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-30,Cafe,Dinner,buffet,1.9,212.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-30,Cafe,Dinner,buffet,3.0,212.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-30,Cafe,Dinner,buffet,2.4,212.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-30,Cafe,Dinner,preparation,3.5,212.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-30,Cafe,Dinner,plate,22.0,212.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-26,Yun Jin,Lunch,preparation,9.0,56.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-26,Yun Jin,Lunch,preparation,8.0,56.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-26,Yun Jin,Lunch,preparation,2.0,56.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-26,Yun Jin,Lunch,preparation,3.0,56.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-26,Yun Jin,Lunch,preparation,2.0,56.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-26,Yun Jin,Lunch,preparation,2.0,56.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-26,Yun Jin,Dinner,preparation,3.7,61.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-26,Yun Jin,Dinner,preparation,6.5,61.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-26,Yun Jin,Dinner,preparation,1.0,61.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-26,Yun Jin,Dinner,preparation,5.4,61.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-26,Yun Jin,Dinner,plate,9.0,61.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-27,Yun Jin,Lunch,preparation,0.6,47.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-27,Yun Jin,Lunch,preparation,2.0,47.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-27,Yun Jin,Lunch,preparation,2.3,47.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-27,Yun Jin,Lunch,preparation,3.0,47.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-27,Yun Jin,Lunch,plate,7.0,47.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-27,Yun Jin,Dinner,preparation,0.9,38.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-27,Yun Jin,Dinner,preparation,6.0,38.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-27,Yun Jin,Dinner,preparation,1.0,38.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-27,Yun Jin,Dinner,preparation,3.5,38.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-27,Yun Jin,Dinner,plate,8.0,38.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Yun Jin,Lunch,preparation,3.2,29.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Yun Jin,Lunch,preparation,1.1,29.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Yun Jin,Lunch,preparation,8.0,29.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Yun Jin,Lunch,preparation,3.0,29.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Yun Jin,Lunch,plate,4.7,29.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Yun Jin,Dinner,preparation,3.0,41.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Yun Jin,Dinner,preparation,4.0,41.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Yun Jin,Dinner,preparation,4.0,41.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-28,Yun Jin,Dinner,plate,5.0,41.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-29,Yun Jin,Lunch,preparation,2.2,29.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-29,Yun Jin,Lunch,preparation,6.5,29.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-29,Yun Jin,Lunch,preparation,2.7,29.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-29,Yun Jin,Lunch,preparation,4.0,29.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-29,Yun Jin,Lunch,preparation,5.2,29.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-29,Yun Jin,Lunch,plate,3.0,29.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-29,Yun Jin,Dinner,preparation,14.0,93.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-29,Yun Jin,Dinner,preparation,4.0,93.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-29,Yun Jin,Dinner,preparation,4.0,93.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-29,Yun Jin,Dinner,plate,9.0,93.0,0.0,OK
APAC Hyatt Taipei TAIGH,2022-04-30,Yun Jin,Lunch,preparation,4.0,147.0,0.0,OK
