id_company,date_waste,kitchen,shift,type_waste,weight,covers,heatmap,heatmap_text
APAC Hyatt Seoul SELRS,2022-04-07,Bakery,Dinner,buffet,3.0,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-07,Bakery,Dinner,buffet,3.5,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-07,Commissary,Lunch,preparation,3.1,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-07,Bakery,Lunch,preparation,3.5,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-07,Bakery,Lunch,preparation,3.0,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-07,Bakery,Lunch,buffet,4.0,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-07,Bakery,Lunch,buffet,2.6,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-07,Bakery,Lunch,buffet,0.9,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-07,Commissary,Breakfast,preparation,23.4,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-07,Bakery,Lunch,buffet,1.2,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-07,Commissary,Lunch,preparation,15.0,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-07,Commissary,Breakfast,preparation,20.0,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-07,Commissary,Breakfast,preparation,1.0,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-07,Commissary,Lunch,preparation,0.8,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-07,Bakery,Lunch,preparation,20.0,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-07,Bakery,Lunch,preparation,1.8,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-07,Bakery,Breakfast,buffet,1.4,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-07,Bakery,Breakfast,preparation,0.8,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-06,Bakery,Dinner,preparation,0.6,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-06,Bakery,Lunch,buffet,3.4,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-06,Bakery,Breakfast,buffet,1.2,,1.0,C
APAC Hyatt Seoul SELRS,2022-04-06,Bakery,Breakfast,buffet,8.0,,1.0,C
APAC Hyatt Guangzhou GUAGH,2022-04-06,Commissary,Dinner,preparation,0.36,,1.0,C
